,GEN,NIT,SAM,SXT,CAZ,CIP,TOB,TZP,TCY,AMK,LVX,MEM,ETP,CZO,CXM,IPM,FOX
GCA_022063105,S,,R,R,S,R,S,R,R,S,R,I,,R,R,R,
GCA_022063125,S,I,R,R,R,R,S,R,I,S,I,S,,R,R,S,I
GCA_022063145,S,,R,R,I,R,S,R,R,S,R,I,,R,R,R,S
GCA_022063165,S,I,R,R,R,R,R,R,R,S,R,S,,R,R,S,S
GCA_022063215,S,,R,R,R,R,I,R,I,S,R,R,,R,R,R,R
GCA_022063235,S,R,R,R,R,R,R,R,R,I,R,S,,R,R,S,R
GCA_022063265,S,R,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022063285,S,,R,R,R,R,S,R,I,S,R,R,,R,R,R,R
GCA_022063305,S,,R,R,R,R,S,R,S,S,R,R,,R,R,R,
GCA_022063345,S,,I,S,R,R,R,R,S,I,R,S,,R,R,S,S
GCA_022063365,R,,R,S,R,R,R,R,R,S,R,R,,R,R,R,
GCA_022063385,S,,R,R,R,R,S,R,S,S,R,R,,R,R,R,
GCA_022063405,S,,R,R,I,R,S,R,R,S,R,I,,R,R,R,S
GCA_022063425,R,,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022063445,R,R,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022063465,S,R,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022063485,R,,R,R,R,R,I,R,R,S,R,S,,R,R,S,
GCA_022063525,S,R,R,R,R,R,R,I,R,S,R,S,,R,R,S,S
GCA_022063545,S,R,R,R,S,S,S,R,R,S,S,S,,R,R,S,R
GCA_022063565,S,R,R,R,R,R,R,I,R,S,R,S,,R,R,S,S
GCA_022063585,S,R,R,S,R,R,R,R,S,I,R,S,,R,R,S,S
GCA_022063625,R,R,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022063665,R,,R,R,R,R,R,I,R,S,I,S,,R,R,S,S
GCA_022063685,R,,R,R,R,R,R,R,S,S,R,S,,R,R,S,R
GCA_022063705,R,R,R,R,R,R,R,R,S,R,R,R,,R,R,R,R
GCA_022063725,S,R,R,R,R,R,R,R,S,R,R,R,,R,R,S,R
GCA_022063745,R,,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022063765,S,R,R,S,S,S,S,I,R,S,S,S,,S,R,S,R
GCA_022063785,R,,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022063805,S,,R,R,S,R,R,R,R,I,R,S,,S,R,S,I
GCA_022063825,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022063845,S,,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022063865,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022063885,R,,R,R,R,R,R,R,R,I,R,R,,R,R,R,R
GCA_022063905,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022063925,R,,R,S,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022063985,S,,R,R,R,R,I,R,R,S,R,S,,R,R,S,I
GCA_022064005,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022064025,R,,R,S,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022064085,R,,R,R,R,R,R,R,R,S,R,S,,R,R,S,R
GCA_022064105,S,R,R,R,R,R,R,I,S,I,R,S,,R,R,S,I
GCA_022064125,S,,R,R,R,R,I,I,S,S,R,S,,R,R,S,S
GCA_022064145,S,R,I,R,R,R,I,S,S,S,R,S,,R,R,S,S
GCA_022064185,S,,R,R,R,R,I,R,S,S,R,S,,R,R,S,S
GCA_022064205,S,R,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022064225,S,R,R,R,R,R,I,I,R,S,R,S,,R,R,S,S
GCA_022064245,R,,R,R,R,R,R,R,R,S,R,S,,R,R,S,I
GCA_022064285,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,R
GCA_022064325,S,R,R,R,R,R,S,R,S,S,R,S,,R,R,S,I
GCA_022064345,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,I
GCA_022064365,R,R,R,R,R,R,S,R,R,S,R,I,,R,R,S,R
GCA_022064385,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022064405,S,R,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022064425,S,,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022064445,R,R,R,R,R,R,R,R,R,I,R,S,,R,R,S,R
GCA_022064465,S,R,R,S,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022064485,S,,R,S,R,R,R,R,I,S,R,S,,R,R,S,R
GCA_022064505,S,I,R,R,R,I,S,S,R,S,S,S,,R,R,S,S
GCA_022064525,S,R,I,R,R,R,R,S,S,I,R,S,,R,R,S,I
GCA_022064565,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022064585,S,,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022064605,S,R,R,R,R,R,R,R,S,I,R,R,,R,R,S,R
GCA_022064625,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022064645,S,R,I,S,R,R,S,S,R,S,R,S,,R,R,S,R
GCA_022064685,S,R,R,S,R,I,S,R,S,S,S,S,,R,R,S,S
GCA_022064705,S,,R,R,R,R,I,I,R,S,R,S,,R,R,S,S
GCA_022064725,R,,R,R,R,R,I,R,S,S,R,S,,R,R,S,S
GCA_022064745,R,R,R,S,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022064765,S,,R,S,R,R,S,S,S,S,R,S,,R,R,S,I
GCA_022064785,R,R,R,R,R,R,R,R,I,S,R,R,,R,R,R,R
GCA_022064805,R,R,R,R,R,R,R,R,R,S,S,S,,R,R,S,S
GCA_022064825,R,,R,R,R,R,R,R,R,R,R,S,,R,R,S,R
GCA_022064845,R,,R,S,R,R,S,R,I,S,R,S,,R,R,S,R
GCA_022064865,S,R,R,S,R,R,S,R,S,S,R,S,,R,R,S,S
GCA_022064885,R,,R,R,R,R,R,R,S,S,R,S,,R,R,S,S
GCA_022064905,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022064925,R,,R,R,R,R,R,R,S,S,R,I,,R,R,R,R
GCA_022064945,S,R,R,R,R,R,R,R,S,I,R,S,,R,R,S,R
GCA_022064965,R,R,R,R,R,R,R,R,S,S,R,S,,R,R,S,S
GCA_022064985,R,,R,S,R,R,I,R,I,S,R,S,,R,R,S,S
GCA_022065005,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022065025,S,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022065065,R,,R,R,R,R,R,R,R,S,R,S,,R,R,S,I
GCA_022065075,R,R,R,S,R,R,I,R,S,S,R,S,,R,R,S,S
GCA_022065125,R,R,R,R,R,R,R,S,S,S,R,S,,R,R,S,S
GCA_022065165,S,R,R,R,R,S,S,S,S,S,S,S,,R,R,S,S
GCA_022065205,R,R,R,R,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022065245,S,,I,R,R,S,S,R,S,S,S,S,,R,R,S,S
GCA_022065265,S,R,R,R,R,R,S,R,I,S,R,R,,R,R,R,R
GCA_022065285,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022065305,R,I,I,S,R,S,I,S,S,S,S,S,,R,R,S,S
GCA_022065505,S,,I,S,R,R,I,S,I,S,R,S,,R,R,S,R
GCA_022066305,R,,R,R,R,R,I,R,S,S,R,R,,R,R,R,R
GCA_022066345,S,R,R,R,R,R,I,S,R,S,R,S,,R,R,S,S
GCA_022066405,R,R,R,S,R,R,I,R,S,S,R,S,,R,R,S,S
GCA_022066425,R,R,R,S,R,R,I,R,S,S,R,S,,R,R,S,R
GCA_022066445,R,,R,R,S,R,I,S,R,S,R,S,,R,R,S,S
GCA_022066465,R,R,R,R,R,R,R,I,R,S,I,S,,R,R,S,R
GCA_022066485,R,,I,R,S,S,S,S,R,S,S,S,,R,R,S,S
GCA_022066505,S,R,R,R,R,R,R,R,S,R,R,R,,R,R,R,R
GCA_022066525,S,R,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022066545,S,,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022066565,S,R,R,R,R,R,S,S,R,S,R,S,,R,R,S,I
GCA_022066585,R,R,R,R,R,R,R,R,R,I,R,S,,R,R,S,R
GCA_022066605,S,R,R,S,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022066625,R,,R,R,S,R,I,S,R,S,I,S,,R,R,S,S
GCA_022066645,I,,S,S,R,R,I,S,I,S,I,S,,R,I,S,S
GCA_022066665,R,R,R,R,S,R,R,S,R,S,I,S,,R,R,S,S
GCA_022066695,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022066725,I,,S,S,R,R,I,S,I,S,I,S,,S,I,S,I
GCA_022066745,R,I,R,R,R,R,R,S,R,S,S,S,,R,R,S,S
GCA_022066765,S,,R,S,R,R,I,I,R,S,R,S,,R,R,S,R
GCA_022066785,R,I,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022066805,R,R,R,R,R,R,R,R,S,R,R,R,,R,R,R,R
GCA_022066825,R,,R,R,R,R,I,R,R,S,R,S,,R,R,S,S
GCA_022066845,R,R,R,R,R,R,R,R,S,R,R,R,,R,R,R,R
GCA_022066865,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022066885,R,,R,R,R,R,R,R,R,S,R,S,,R,R,S,S
GCA_022066925,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022066965,R,,R,R,R,R,I,S,R,S,R,S,,R,R,S,S
GCA_022066985,R,,R,S,R,R,I,R,R,S,R,S,,R,R,S,S
GCA_022067005,R,,R,R,R,R,I,R,R,S,I,S,,R,R,S,S
GCA_022067025,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022067045,S,R,R,R,R,R,S,S,R,S,R,S,,R,R,S,S
GCA_022067065,R,R,R,S,R,R,I,R,S,S,R,S,,R,R,S,S
GCA_022067085,R,,R,R,R,R,R,S,R,S,S,S,,R,R,S,S
GCA_022067105,R,,R,R,R,R,R,S,R,S,S,S,,R,R,S,S
GCA_022067145,S,R,R,R,R,R,R,R,S,R,R,R,,R,R,I,R
GCA_022067165,S,,R,R,R,R,S,R,S,S,R,S,,R,R,S,S
GCA_022067185,S,,R,S,R,S,S,R,S,S,S,S,,R,R,S,R
GCA_022067205,S,I,R,R,R,R,S,S,R,S,I,S,,R,I,S,S
GCA_022067265,S,,R,R,R,R,I,R,R,S,R,S,,R,R,S,I
GCA_022067285,S,R,R,R,R,R,R,R,I,I,R,,,R,R,I,R
GCA_022067305,S,,I,R,R,R,S,,S,S,R,S,,R,R,S,S
GCA_022067325,R,I,R,R,R,R,S,I,R,S,R,S,,R,R,S,S
GCA_022067365,R,I,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022067385,S,,I,R,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022067405,S,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022067425,R,I,R,R,R,I,R,S,R,S,S,S,,R,R,S,S
GCA_022067445,S,R,R,S,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022067465,R,I,R,R,R,R,R,S,R,S,S,S,,R,R,S,S
GCA_022067485,S,,R,S,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022067505,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022067525,R,,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022067545,S,R,R,R,R,R,R,I,R,I,R,S,,R,R,S,R
GCA_022067565,S,,R,R,R,R,R,R,I,I,R,I,,R,R,S,R
GCA_022067585,R,R,R,S,R,R,R,S,R,I,R,S,,R,R,S,R
GCA_022067605,S,R,R,R,R,R,R,R,S,I,R,S,,R,R,S,I
GCA_022067625,R,R,R,R,R,R,R,S,S,S,R,S,,R,R,S,S
GCA_022067645,R,I,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022067665,S,,R,R,R,R,R,R,S,I,R,I,,R,R,S,R
GCA_022067705,R,R,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022067725,R,,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022067745,R,R,R,R,R,R,R,I,R,S,I,S,,R,R,S,I
GCA_022067765,S,I,I,R,R,I,S,S,S,S,S,S,,R,R,S,S
GCA_022067785,R,,R,R,R,R,S,R,S,S,R,S,,R,R,S,R
GCA_022067805,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022067825,R,,R,R,R,R,R,R,S,S,R,I,,R,R,R,R
GCA_022067845,R,R,R,R,R,R,R,R,R,S,R,R,,R,R,I,R
GCA_022067865,S,,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022067885,R,S,R,S,S,S,I,S,R,S,S,S,,R,R,S,S
GCA_022067905,R,,R,R,R,R,R,R,S,S,R,R,,R,R,R,R
GCA_022067925,R,R,R,R,R,R,R,R,R,R,R,R,,R,R,R,R
GCA_022067945,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022067965,S,R,R,R,R,R,S,S,S,S,R,S,,R,R,S,I
GCA_022067985,R,,R,R,R,R,R,S,R,S,S,S,,R,R,S,S
GCA_022068005,R,,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022068025,S,R,R,R,R,R,R,I,S,S,I,S,,R,R,S,S
GCA_022068065,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022068085,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022068105,R,,R,S,R,R,R,R,S,S,R,R,,R,R,R,R
GCA_022068125,S,,R,R,R,R,S,R,I,S,R,R,,R,R,R,R
GCA_022068145,S,I,I,R,R,I,S,S,S,S,S,S,,R,R,S,S
GCA_022068165,R,,R,R,I,R,R,S,R,S,S,S,,R,R,S,S
GCA_022068185,S,,R,S,R,R,S,S,R,S,R,S,,R,R,S,S
GCA_022068305,S,,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022068325,R,,R,R,R,R,R,R,S,S,R,R,,R,R,R,R
GCA_022068345,R,,R,R,R,R,R,R,R,I,R,R,,R,R,R,R
GCA_022068365,R,,R,R,R,R,R,R,I,S,R,R,,R,R,R,R
GCA_022068385,S,,R,R,R,R,I,R,I,S,R,S,,R,R,S,I
GCA_022068425,R,,R,R,R,R,R,R,I,I,R,R,,R,R,R,R
GCA_022068445,R,R,R,S,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022068465,R,,R,R,R,R,R,R,R,I,R,R,,R,R,R,R
GCA_022068485,S,,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022068505,S,R,R,R,R,R,I,I,S,S,I,S,,R,R,S,S
GCA_022068565,R,,R,R,R,R,R,R,I,I,R,R,,R,R,R,R
GCA_022068585,R,,R,R,R,R,R,R,R,R,R,R,,R,R,R,R
GCA_022068605,S,,S,S,S,S,S,S,R,S,S,S,,S,R,S,R
GCA_022068625,S,,R,S,R,S,S,R,I,S,S,R,,R,R,R,R
GCA_022068665,S,R,R,S,R,R,S,S,R,S,R,S,,R,R,S,R
GCA_022068685,S,R,R,S,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022068725,S,S,R,R,R,R,S,R,I,S,R,S,,R,R,S,I
GCA_022068745,S,,R,R,R,I,S,S,S,S,S,S,,R,R,S,S
GCA_022068805,S,I,R,S,R,S,S,S,S,S,S,S,,R,R,S,S
GCA_022068825,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022068845,R,R,R,R,R,R,S,I,R,S,R,S,,R,R,S,S
GCA_022068865,R,I,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022068905,S,R,R,R,R,R,S,I,S,S,R,S,,R,R,S,R
GCA_022068925,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022068985,S,I,R,R,R,R,S,S,R,S,R,S,,R,R,S,S
GCA_022069045,S,,R,S,R,S,S,R,R,S,S,S,,R,R,S,R
GCA_022069065,S,R,R,R,R,R,S,S,I,S,R,S,,R,R,S,R
GCA_022069105,R,,R,R,R,R,R,R,R,S,R,R,,R,R,R,I
GCA_022069125,S,,R,R,R,R,R,R,R,S,S,S,,R,R,S,S
GCA_022069145,R,R,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022069165,S,,R,R,R,R,S,R,S,S,R,,,R,R,R,R
GCA_022069185,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022069225,I,R,R,R,R,R,R,R,I,I,R,R,,R,R,R,R
GCA_022069245,R,,R,R,R,R,R,R,R,I,R,R,,R,R,R,R
GCA_022069265,R,,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022069285,S,R,R,R,R,R,I,I,S,S,I,S,,R,R,S,S
GCA_022069305,R,R,R,R,R,R,R,R,S,I,R,S,,R,R,S,S
GCA_022069345,R,R,R,R,R,R,R,R,I,S,R,R,,R,R,R,R
GCA_022069425,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022069465,R,R,R,R,R,R,S,R,R,S,R,R,,R,R,S,R
GCA_022069525,S,I,R,R,R,I,S,S,S,S,S,S,,R,R,S,S
GCA_022069565,R,,R,R,S,I,I,S,R,S,S,S,,R,R,S,S
GCA_022069585,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022069605,S,,R,R,R,R,R,R,S,S,R,R,,R,R,R,I
GCA_022069665,S,R,R,R,R,R,R,R,I,I,R,S,,R,R,S,R
GCA_022069685,S,R,R,S,R,R,S,R,I,S,R,R,,R,R,S,R
GCA_022069705,S,,R,S,R,R,R,R,S,S,R,R,,R,R,R,R
GCA_022069725,I,R,R,R,R,R,R,R,S,I,R,I,,R,R,S,R
GCA_022069745,S,,R,R,R,R,R,R,S,S,R,R,,R,R,S,I
GCA_022069765,S,R,R,S,R,R,S,R,I,S,R,R,,R,R,I,R
GCA_022069805,S,R,R,R,R,R,R,R,S,I,R,S,,R,R,S,S
GCA_022069825,S,,R,S,R,R,S,S,R,S,R,S,,R,R,S,R
GCA_022069845,S,I,R,S,R,R,S,R,S,S,S,S,,R,R,S,I
GCA_022069865,S,,R,S,I,S,S,R,R,S,S,S,,R,S,S,S
GCA_022069885,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022069925,R,,R,R,R,R,R,I,S,S,R,S,,R,R,S,S
GCA_022069945,R,I,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022069955,S,R,R,R,R,R,R,R,S,S,R,R,,R,R,S,R
GCA_022069985,S,,I,S,R,R,R,S,S,S,R,S,,R,S,S,S
GCA_022070015,R,,R,R,R,R,I,R,R,S,R,I,,R,R,S,R
GCA_022070045,R,I,R,S,R,R,I,R,S,S,R,S,,R,R,S,S
GCA_022070065,R,I,R,S,R,R,I,R,S,S,R,S,,R,R,S,S
GCA_022070085,S,,I,R,R,R,R,S,S,I,R,S,,R,R,S,S
GCA_022070105,S,R,R,R,R,R,R,R,R,S,R,S,,R,R,S,I
GCA_022070125,R,,R,R,S,R,R,R,R,S,R,S,,R,R,S,R
GCA_022070165,R,,R,R,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022070185,S,R,R,R,R,R,R,R,I,S,R,R,,R,R,R,R
GCA_022070205,R,,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022070245,R,R,R,R,R,R,I,S,R,S,R,S,,R,R,S,S
GCA_022070265,R,,R,R,R,R,R,I,S,S,R,S,,R,R,S,S
GCA_022070285,R,,R,R,S,R,R,R,R,S,R,S,,R,R,S,R
GCA_022070305,S,R,R,R,R,R,I,R,R,S,R,S,,R,R,S,I
GCA_022070325,R,,R,R,S,R,R,R,R,S,R,S,,R,R,S,R
GCA_022070345,S,R,R,R,R,R,R,R,S,S,R,R,,R,R,S,R
GCA_022070385,S,R,R,R,R,R,R,R,I,R,R,R,,R,R,R,R
GCA_022070405,R,R,R,R,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022070445,S,R,R,S,I,S,S,R,R,S,S,S,,R,R,S,S
GCA_022070525,R,R,R,R,R,R,R,R,R,S,R,S,,R,R,S,I
GCA_022070585,S,R,R,S,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022070605,I,R,R,S,R,R,S,R,I,S,R,S,,R,R,S,I
GCA_022070625,S,R,R,R,R,R,I,S,R,S,R,S,,R,R,S,R
GCA_022070645,R,R,R,R,R,R,I,R,I,S,R,R,,R,R,R,R
GCA_022070665,S,R,R,R,R,R,R,R,S,S,R,R,,R,R,R,R
GCA_022070685,R,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022070705,I,,R,S,S,R,S,S,I,S,S,R,,R,R,R,R
GCA_022070725,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022070745,R,R,R,R,R,R,R,R,R,S,R,S,,R,R,S,R
GCA_022070765,S,,I,S,R,R,R,S,S,I,R,S,,R,R,S,S
GCA_022070785,R,,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022070805,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,S
GCA_022070825,S,R,R,R,R,R,S,S,S,S,R,S,,R,R,S,I
GCA_022070845,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,S
GCA_022070865,R,,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022070885,R,R,R,R,R,R,R,I,R,S,R,S,,R,R,S,R
GCA_022070905,R,,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022070925,R,R,R,R,R,R,S,R,R,S,R,I,,R,R,S,R
GCA_022070945,R,,R,R,R,R,R,R,R,S,R,S,,R,R,S,I
GCA_022070965,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,I
GCA_022070985,S,,R,R,R,R,I,I,R,S,R,S,,R,R,S,I
GCA_022071005,S,,R,R,R,R,S,I,S,S,R,S,,R,R,S,R
GCA_022071025,S,,R,R,R,R,R,R,S,R,R,R,,R,R,R,I
GCA_022071045,R,R,R,R,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022071065,R,,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022071085,S,R,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022071105,R,R,R,R,R,R,R,R,R,I,R,S,,R,R,S,R
GCA_022071125,R,,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022071145,R,R,R,R,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022071165,R,,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022071185,S,,I,R,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022071205,R,,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022071225,S,,I,S,S,S,S,S,R,S,S,S,,S,R,S,R
GCA_022071245,S,R,R,R,R,R,R,R,S,R,R,R,,R,R,R,R
GCA_022071265,S,R,R,S,R,R,S,I,R,S,R,S,,R,R,S,R
GCA_022071285,S,S,R,S,R,R,I,I,R,S,R,S,,R,I,S,S
GCA_022071325,S,R,R,R,R,R,R,R,S,R,R,R,,R,R,R,R
GCA_022071345,S,,I,R,R,R,I,S,S,S,R,S,,R,R,S,S
GCA_022071365,R,,R,R,R,R,R,R,S,S,R,S,,R,R,S,S
GCA_022071385,S,R,I,S,R,S,S,S,S,S,S,S,,R,R,S,S
GCA_022071405,S,,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022071445,S,R,R,R,R,R,R,R,S,R,R,R,,R,R,R,R
GCA_022071465,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,S
GCA_022071505,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,I
GCA_022071525,R,,R,R,R,R,S,R,R,S,R,S,,R,R,S,R
GCA_022071545,S,,R,R,R,R,R,R,I,I,R,R,,R,R,R,R
GCA_022071565,S,R,R,S,R,R,S,S,R,S,R,S,,R,R,S,I
GCA_022071585,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022071605,S,,R,R,R,R,I,R,S,S,R,S,,R,R,S,I
GCA_022071625,S,R,R,S,R,R,I,I,R,S,R,S,,R,R,S,I
GCA_022071645,S,,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022071665,R,R,R,R,R,R,R,R,R,S,R,S,,R,R,S,R
GCA_022071685,S,R,R,R,R,R,R,R,I,I,R,I,,R,R,R,R
GCA_022071705,R,,R,S,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022071725,S,I,R,R,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022071745,R,I,R,R,R,I,R,S,R,S,S,S,,R,R,S,S
GCA_022071765,S,R,R,S,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022071785,R,,R,R,R,R,I,I,R,S,S,S,,R,R,S,S
GCA_022072285,S,R,R,R,R,R,I,R,S,S,R,S,,R,R,S,I
GCA_022072345,S,,R,S,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022072485,R,,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022072525,S,R,R,R,R,R,R,R,S,S,R,S,,R,R,S,S
GCA_022072565,R,S,R,S,R,R,I,R,S,S,R,S,,R,R,S,S
GCA_022072585,R,,R,S,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022072605,S,,R,R,R,R,R,R,S,I,R,S,,R,R,S,S
GCA_022072645,S,,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022072665,R,R,R,R,R,R,R,R,I,S,R,R,,R,R,R,R
GCA_022072685,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,R
GCA_022072705,R,,R,R,R,R,I,S,R,S,S,S,,R,R,S,S
GCA_022072745,R,R,I,S,R,R,R,S,S,S,R,S,,R,R,S,S
GCA_022072785,S,R,R,S,S,S,S,S,S,S,S,S,,R,R,S,S
GCA_022072825,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,I
GCA_022072865,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,R
GCA_022072885,R,,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022072905,R,R,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022072925,S,,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022072965,S,R,R,R,R,R,I,I,S,S,R,S,,R,R,S,S
GCA_022072985,S,R,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022073005,R,,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022073025,S,I,R,R,R,R,I,S,R,S,R,S,,R,R,S,S
GCA_022073045,S,R,I,R,R,R,R,S,S,I,R,S,,R,R,S,S
GCA_022073065,R,,R,S,R,R,I,R,S,S,R,R,,R,R,R,R
GCA_022073085,S,S,R,R,R,R,I,S,R,S,S,S,,R,R,S,S
GCA_022073105,S,R,R,R,R,R,R,R,S,R,R,R,,R,R,S,R
GCA_022073125,R,,R,R,R,R,R,R,R,S,R,S,,R,R,S,S
GCA_022073185,R,I,R,R,R,R,I,R,S,S,R,R,,R,R,R,R
GCA_022073205,S,,R,S,R,S,S,R,S,S,S,R,,R,R,R,I
GCA_022073225,S,,R,R,I,R,R,S,R,S,S,S,,R,R,S,S
GCA_022073265,R,R,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022073285,S,I,R,R,R,R,S,R,I,S,R,S,,R,R,S,I
GCA_022073305,R,R,R,R,R,I,S,R,R,S,S,S,,R,R,R,I
