,GEN,NIT,SAM,SXT,CAZ,CIP,TOB,TZP,TCY,AMK,LVX,MEM,ETP,CZO,CXM,IPM,FOX
GCA_000694235,I,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000694255,I,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000694275,R,,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000694295,R,R,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000694315,I,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000694335,I,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000694355,S,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000694375,R,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000694395,S,R,R,R,R,R,,,,R,R,R,R,R,,R,R
GCA_000694415,I,R,R,R,R,R,,,,I,R,R,R,R,,R,R
GCA_000706605,,,,,,,,,,,,R,,,,,
GCA_000707985,,,,R,,,,,,,,,,,,,
GCA_001701415,S,,R,R,R,R,R,R,S,I,,R,,R,,R,R
GCA_001701935,S,,R,R,R,R,I,R,R,S,,R,,R,,R,R
GCA_002055765,I,,R,R,R,R,R,R,S,S,R,R,R,R,,R,R
GCA_002055855,R,,R,R,R,R,R,R,I,R,R,R,R,R,,R,R
GCA_002056385,I,,,R,R,R,R,R,R,S,R,R,R,R,,R,R
GCA_002056475,R,,R,R,R,R,R,R,S,I,R,R,R,R,,R,R
GCA_002156745,R,,R,R,R,R,R,R,R,R,R,I,,R,R,R,R
GCA_002156785,R,,R,R,R,R,R,R,R,R,R,R,,R,R,R,R
GCA_002180075,S,,R,R,R,R,R,R,R,I,R,R,R,R,,I,R
GCA_002180155,R,,,R,R,R,R,R,S,S,R,R,R,R,,R,R
GCA_002180175,S,,R,R,R,R,R,R,R,I,R,R,R,R,,R,R
GCA_002180255,R,,R,R,R,R,I,R,R,S,R,R,R,R,,R,R
GCA_002180295,S,,R,R,R,R,R,,S,I,R,R,R,R,,R,R
GCA_002180315,R,,R,R,R,R,R,R,R,R,R,R,R,R,,R,R
GCA_002192315,S,,R,R,R,S,I,,S,S,S,R,R,R,,R,R
GCA_002192335,R,,,R,R,R,R,R,S,I,R,R,R,R,,R,R
GCA_002192375,R,,R,R,R,R,R,R,R,R,R,R,R,R,,R,R
GCA_002197225,R,,R,S,R,R,R,,R,R,R,R,R,R,,R,R
GCA_002197505,R,,R,R,R,R,R,,S,I,R,R,R,R,,R,R
GCA_002202195,R,,R,R,R,R,R,R,R,R,R,R,R,R,,S,R
GCA_002202215,S,,R,S,R,R,R,R,S,S,R,R,R,R,,R,R
GCA_002202235,S,,R,R,R,R,R,R,R,S,R,R,R,R,,R,R
GCA_002202255,R,,R,R,R,R,R,R,R,R,R,R,R,R,,R,R
GCA_002202275,R,,R,R,R,R,R,R,S,R,R,R,R,R,,R,R
GCA_002211905,R,,,R,R,R,R,R,R,R,R,R,R,R,,R,R
GCA_002239875,,,,,,,,,,,,,,,,,
GCA_002751905,R,,R,R,R,,,,,R,,,,R,,,
GCA_002948565,R,,R,R,R,R,R,R,R,I,R,R,R,R,,R,R
GCA_002968475,R,,R,R,R,R,R,R,S,I,R,R,R,R,,R,R
GCA_002968495,S,,R,R,R,R,R,R,S,I,R,R,R,R,,R,R
GCA_003010595,R,,R,S,R,S,R,R,S,S,S,R,R,R,,R,R
GCA_003010735,S,,R,R,R,R,R,R,S,S,R,R,R,R,,R,R
GCA_003069525,R,,R,R,R,R,R,R,I,R,R,R,R,R,,R,R
GCA_003071305,R,,R,R,R,R,R,R,R,R,R,R,R,R,,I,I
GCA_003073315,R,,R,R,R,R,R,R,R,R,,I,R,R,,R,R
GCA_003073335,R,,R,R,R,R,R,R,R,R,R,R,R,R,,R,R
GCA_003073675,S,,R,R,R,R,R,R,S,S,R,R,R,R,,R,R
GCA_003074015,R,,R,R,R,R,R,R,S,S,R,S,S,R,,S,I
GCA_003186535,S,R,,R,R,S,R,S,R,S,S,S,S,,,,S
GCA_003194285,S,,,R,R,R,R,R,,S,I,S,R,,R,S,
GCA_003194325,S,,,R,R,R,R,R,,R,R,R,R,,R,R,
GCA_003203435,R,,,,,R,,,,S,R,,R,R,R,R,R
GCA_003204175,S,,R,S,R,R,S,R,R,S,R,S,S,R,,S,R
GCA_003204465,R,,R,R,R,R,R,R,R,R,R,R,R,R,,I,R
GCA_003288375,S,,R,R,R,R,R,R,S,I,R,R,R,R,,R,R
GCA_003324315,R,,R,S,R,R,R,R,S,I,R,R,R,R,,R,R
GCA_003571525,R,,R,R,R,S,R,R,S,S,S,R,I,R,,R,R
GCA_003571545,R,,R,R,R,R,R,R,R,S,R,R,R,R,,R,R
GCA_003571585,S,,R,S,S,S,S,R,S,S,S,R,R,R,,R,R
